image_name,scale,center_w,center_h,tad_1_x,tad_1_y,tad_2_x,tad_2_y,apad_1_x,apad_1_y,apad_2_x,apad_2_y,px_to_mm_rate,mm_dist,Algo,SubjectID,Split
020_AC.jpeg,2.192095588,477.0,329.0,458,202,439,480,594,343,318,329,0.174897119,,,,Train
020_2AC.jpeg,2.610294118,568.0,392.5,604,529,413,73,275,376,734,234,0.156453716,,,,Train
020_3AC.jpeg,2.192095588,477.0,329.0,424,86,431,553,666,323,195,328,0.197472354,,,,Train
020_4AC.jpeg,2.192095588,477.0,329.0,417,83,415,615,692,323,133,346,0.196629213,,,,Train
020_5AC.jpeg,2.192095588,477.0,329.0,418,56,418,536,689,285,133,303,0.197160883,,,,Train
022_2AC.jpeg,2.192095588,477.0,329.0,466,139,448,509,683,314,253,313,0.211864407,,,,Train
022_AC.jpeg,2.192095588,477.0,329.0,418,104,380,517,597,288,182,277,0.212355212,,,,Train
023_2AC.jpeg,2.192095588,477.0,329.0,386,444,458,199,298,255,560,364,0.193661972,,,,Train
023_3AC.jpeg,2.192095588,477.0,329.0,462,502,454,216,303,344,623,330,0.179968701,,,,Train
023_AC.jpeg,2.192095588,477.0,329.0,454,472,454,158,310,317,649,307,0.139616056,,,,Train
028_AC.jpeg,2.192095588,477.0,329.0,456,165,483,494,319,329,623,292,0.162037037,,,,Train
002_5AC.jpg,2.2058823530000002,480.0,360.0,262,542,557,250,260,269,557,545,0.188976378,,,,Train
002_AC.jpg,2.2058823530000002,480.0,360.0,388,511,542,88,254,229,675,368,0.17452007,,,,Train
002_2AC.jpg,2.2058823530000002,480.0,360.0,421,524,430,123,218,308,604,316,0.18612521199999998,,,,Train
002_3AC.jpg,2.2058823530000002,480.0,360.0,439,79,605,432,685,169,364,346,0.23569023600000005,,,,Train
002_4AC.jpg,2.2058823530000002,480.0,360.0,375,113,582,542,666,203,323,435,0.204545455,,,,Train
027_2AC.jpeg,2.192095588,477.0,329.0,489,503,489,201,331,324,660,338,0.139344262,,,,Train
030_6AC.jpeg,2.192095588,477.0,329.0,535,213,426,552,682,420,299,311,0.142276423,,,,Train
024_AC.jpeg,2.610294118,568.0,394.0,658,590,603,242,452,425,825,376,0.12676056300000002,,,,Train
024_2AC.jpeg,2.192095588,477.0,329.0,405,537,498,163,302,318,671,382,0.20338983100000002,,,,Train
024_3AC.jpeg,2.192095588,477.0,329.0,406,538,499,165,303,316,666,384,0.20338983100000002,,,,Train
