image_name,scale,center_w,center_h,fl_1_x,fl_1_y,fl_2_x,fl_2_y,px_to_mm_rate,mm_dist,Patient,Split,Algo
001_FL.jpg,2.610294117647059,568.0,395.5,788,305,348,264,,,,Train,
002_FL.jpeg,2.2058823529411766,480.0,360.0,561,448,225,372,0.142405063291139,,,Train,
002_2FL.jpeg,2.2058823529411766,480.0,360.0,605,363,274,179,0.142405063291139,,,Train,
002_3FL.jpeg,2.2058823529411766,480.0,360.0,730,199,142,300,0.109409190371991,,,Train,
020_FL.jpeg,2.1920955882352944,477.0,329.0,665,304,498,214,0.17495395948434606,,,Train,
020_2FL.jpeg,2.1920955882352944,477.0,329.0,653,293,490,210,0.17495395948434606,,,Train,
020_3FL.jpeg,2.610294117647059,568.0,390.5,821,169,350,137,0.12145748987854303,,,Train,
020_4FL.jpeg,2.1920955882352944,477.0,329.0,766,218,255,238,0.125673249551167,,,Train,
020_5FL.jpeg,2.1920955882352944,477.0,329.0,805,304,166,303,0.108695652173913,,,Train,
022_FL.jpeg,2.1920955882352944,477.0,329.0,704,254,236,280,0.132743362831858,,,Train,
022_2FL.jpeg,2.1920955882352944,477.0,329.0,684,269,178,314,0.125673249551167,,,Train,
023_FL.jpeg,2.1920955882352944,477.0,329.0,663,237,389,191,0.11214953271027997,,,Train,
023_2FL.jpeg,2.1920955882352944,477.0,329.0,569,123,235,99,0.0964912280701754,,,Train,
024_FL.jpeg,2.1920955882352944,477.0,329.0,570,363,289,251,0.17495395948434606,,,Train,
024_2FL.jpeg,2.3863377609108163,477.0,329.0,870,387,424,291,0.155109489051095,,,Train,
024_3FL.jpeg,2.1920955882352944,477.0,329.0,757,341,287,272,0.155038759689922,,,Train,
027_FL.jpeg,2.1920955882352944,477.0,329.0,722,136,338,202,0.18604651162790695,,,Train,
027_2FL.jpeg,2.1920955882352944,477.0,329.0,657,214,298,272,0.19348268839103894,,,Train,
027_3FL.jpeg,2.1920955882352944,477.0,329.0,741,452,235,440,0.062992125984252,,,Train,
027_4FL.jpeg,2.1920955882352944,477.0,329.0,706,178,412,174,0.110410094637224,,,Train,
028_FL.jpeg,2.1920955882352944,477.0,329.0,590,260,286,260,0.0985663082437276,,,Train,
028_2FL.jpeg,2.1920955882352944,477.0,329.0,602,268,356,334,0.125391849529781,,,Train,
028_3FL.jpeg,2.610294117647059,568.0,391.5,916,252,481,223,0.16806722689075596,,,Train,
028_4FL.jpeg,2.610294117647059,568.0,391.5,897,257,463,206,0.16806722689075596,,,Train,
028_5FL.jpeg,2.610294117647059,568.0,392.5,761,302,319,120,0.13962765957446802,,,Train,
028_6FL.jpeg,2.1920955882352944,477.0,329.0,770,222,196,178,0.13196480938416402,,,Train,
029_FL.jpeg,2.610294117647059,568.0,393.0,552,285,284,266,0.116071428571429,,,Train,
029_2FL.jpeg,2.1920955882352944,477.0,329.0,684,298,184,295,0.127504553734062,,,Train,
029_3FL.jpeg,2.1981024667931695,477.0,329.0,839,173,310,225,0.115894039735099,,,Train,
029_4FL.jpeg,2.1920955882352944,477.0,329.0,833,179,341,218,0.121951219512195,,,Train,
029_5FL.jpeg,2.610294117647059,568.0,391.5,776,261,466,293,0.0980392156862745,,,Train,
029_6FL.jpeg,2.610294117647059,568.0,392.5,531,350,158,508,0.0691699604743083,,,Train,
030_FL.jpeg,2.1920955882352944,477.0,329.0,652,179,326,179,0.102915951972556,,,Train,
030_2FL.jpeg,2.1920955882352944,477.0,329.0,734,203,286,174,0.16407599309153698,,,Train,
030_3FL.jpeg,2.1920955882352944,477.0,329.0,662,198,262,167,0.176767676767677,,,Train,
030_4FL.jpeg,2.1920955882352944,477.0,329.0,552,141,234,259,0.20952380952381,,,Train,
030_5FL.jpeg,2.1920955882352944,477.0,329.0,599,142,270,249,0.20952380952381,,,Train,
030_6FL.jpeg,2.1920955882352944,477.0,329.0,653,173,318,259,0.20952380952381,,,Train,
030_7FL.jpeg,2.1920955882352944,477.0,329.0,650,173,320,258,0.20952380952381,,,Train,
030_8FL.jpeg,2.1920955882352944,477.0,329.0,739,243,246,227,0.154440154440154,,,Train,
031_2FL.png,1.9393382352941173,422.0,310.5,556,222,276,202,,,,Train,
032_FL.png,2.683823529411765,584.0,411.0,861,395,443,341,,,,Train,
032_2FL.png,2.6608455882352944,579.0,404.0,941,215,644,257,,,,Train,
032_3FL.png,2.5643382352941178,558.0,400.0,589,497,367,433,,,,Train,
032_4FL.png,2.534466911764706,551.5,397.0,731,194,507,205,,,,Train,
034_3FL.png,2.3965992647058822,521.5,409.0,585,208,154,213,,,,Train,
